Timestamp,Household_ID,Temperature,Energy_Price,HVAC,Refrigerator,Water_Heater,Dishwasher,Washing_Machine,Dryer,EV_Charger,Lighting,Total_Consumption,PV_Generation,Net_Consumption,Grid_Carbon_Intensity,Weather_Condition,Battery_Capacity,Battery_Power,Battery_SOC,Battery_Charge,Battery_Discharge,Grid_Import,Grid_Export,Energy_Cost,Carbon_Emissions,Temperature_Setpoint,Temperature_Deviation,Comfort_Utility
2023-01-01 00:00:00,66,6.6,0.1,1.38,0.19,1.02,0.0,0.83,0.0,7.0,0.14,10.56,0.0,,214.12,Clear,10.0,5.0,0.5,,,0.0,0.0,0.0,0.0,21.0,14.3,0.1
2023-01-01 01:00:00,51,-0.6,0.1,1.86,0.15,1.16,0.0,0.0,0.0,7.0,0.16,10.33,0.0,10.33,227.22,Rainy,10.0,5.0,0.5,0.0,0.0,9.64,0.0,0.96,2.19,21.0,21.6,0.0
2023-01-01 02:00:00,25,3.6,0.1,1.92,0.16,0.84,0.0,0.68,0.0,0.0,0.15,3.75,0.0,3.75,232.53,Windy,10.0,5.0,0.5,0.0,0.0,2.06,0.0,0.2,0.48,21.0,17.3,0.02
2023-01-01 03:00:00,79,8.2,0.1,1.0,0.19,0.63,0.0,0.62,0.0,7.0,0.24,9.68,0.0,9.68,249.02,Rainy,10.0,5.0,0.5,0.0,0.0,8.69,0.0,0.87,2.16,21.0,12.7,0.2
2023-01-01 04:00:00,19,4.3,0.1,1.65,0.15,0.86,0.0,1.06,0.0,7.0,0.25,10.969999999999999,0.0,10.969999999999999,247.67,Clear,10.0,5.0,0.5,0.0,0.0,9.05,0.0,0.9,2.24,21.0,16.6,0.03
2023-01-01 05:00:00,52,2.7,0.1,2.01,0.15,2.54,0.0,0.0,0.0,7.0,0.24,11.94,0.0,11.94,268.37,Windy,10.0,5.0,0.5,0.0,0.0,9.23,0.0,0.92,2.47,21.0,18.2,0.01
2023-01-01 06:00:00,46,6.5,0.1,1.45,0.18,1.91,0.0,1.18,0.0,0.0,0.49,5.21,0.0,5.21,266.49,Clear,10.0,5.0,0.5,0.0,0.0,4.28,0.0,0.42,1.14,21.0,14.4,0.09
2023-01-01 07:00:00,75,5.2,0.15,1.27,0.16,2.69,0.0,0.98,0.0,0.0,0.42,5.52,0.0,1.2999999999999998,264.85,Rainy,10.0,5.0,0.07,0.0,4.22,0.0,0.0,0.0,0.0,21.0,15.7,0.05
2023-01-01 08:00:00,51,6.3,0.15,1.6,0.16,2.88,0.0,0.7,0.0,0.0,0.47,5.81,1.1,4.709999999999999,261.98,Windy,10.0,5.0,0.07,0.0,0.0,3.01,0.0,0.45,0.78,21.0,14.6,0.08
2023-01-01 09:00:00,52,4.9,0.15,1.44,0.16,1.92,0.0,0.91,0.0,0.0,0.0,4.43,2.15,2.28,246.02,Cloudy,10.0,5.0,0.07,0.0,0.0,1.79,0.0,0.27,0.44,21.0,16.0,0.04
2023-01-01 10:00:00,27,3.8,0.1,1.43,0.19,0.83,0.0,0.88,0.0,0.0,0.0,3.3299999999999996,2.71,1.3399999999999996,242.57,Rainy,10.0,5.0,0.14,0.72,0.0,0.0,0.0,0.0,0.0,21.0,17.1,0.02
2023-01-01 11:00:00,11,7.9,0.1,1.29,0.19,0.88,0.0,0.86,0.0,0.0,0.0,3.2199999999999998,3.44,1.7299999999999998,218.22,Clear,10.0,5.0,0.34,1.95,0.0,0.0,0.0,0.0,0.0,21.0,13.0,0.17
2023-01-01 12:00:00,77,4.1,0.1,1.58,0.17,1.08,1.13,1.03,0.0,0.0,0.0,4.99,3.86,3.0500000000000003,201.98,Cloudy,10.0,5.0,0.53,1.92,0.0,0.0,0.0,0.0,0.0,21.0,16.8,0.03
2023-01-01 13:00:00,75,5.2,0.1,1.43,0.16,0.72,1.32,0.0,0.0,0.0,0.0,3.63,4.82,1.8799999999999994,189.72,Cloudy,10.0,5.0,0.84,3.07,0.0,0.0,0.0,0.0,0.0,21.0,15.7,0.05
2023-01-01 14:00:00,85,5.5,0.1,1.4,0.17,1.11,1.02,0.72,0.0,0.0,0.0,4.42,3.59,2.68,181.79,Cloudy,10.0,5.0,1.0,1.85,0.0,0.0,0.0,0.0,0.0,21.0,15.4,0.06
2023-01-01 15:00:00,7,6.5,0.1,1.31,0.16,1.15,0.0,0.96,0.0,0.0,0.0,3.58,3.15,1.9600000000000002,180.93,Cloudy,10.0,5.0,1.0,1.53,0.0,0.0,0.0,0.0,0.0,21.0,14.4,0.09
2023-01-01 16:00:00,54,6.0,0.1,1.62,0.18,0.83,0.0,0.96,0.0,0.0,0.0,3.59,2.71,1.92,174.38,Windy,10.0,5.0,1.0,1.04,0.0,0.0,0.0,0.0,0.0,21.0,14.9,0.07
2023-01-01 17:00:00,43,4.6,0.1,1.3,0.15,3.21,0.0,0.0,0.0,0.0,0.0,4.66,2.51,2.8800000000000003,170.34,Rainy,10.0,5.0,1.0,0.73,0.0,0.0,0.0,0.0,0.0,21.0,16.3,0.04
2023-01-01 18:00:00,43,3.4,0.15,1.44,0.17,1.85,1.26,0.84,0.0,0.0,0.67,6.2299999999999995,0.98,1.75,168.01,Rainy,10.0,5.0,0.64,0.0,3.5,0.0,0.0,0.0,0.0,21.0,17.5,0.02
2023-01-01 19:00:00,64,3.0,0.15,1.87,0.16,2.78,1.44,0.68,0.0,0.0,0.68,7.609999999999999,0.0,3.09,162.89,Clear,10.0,5.0,0.19,0.0,4.52,0.0,0.0,0.0,0.0,21.0,17.9,0.01
